254533: 405, zeros: 405, ones: 0, pp: 1.000000, history: 00000000000000000000
254534: 1695, zeros: 1695, ones: 0, pp: 1.000000, history: 00000000000000000000
254535: 1717, zeros: 1717, ones: 0, pp: 1.000000, history: 00000000000000000000
254536: 11153, zeros: 11153, ones: 0, pp: 1.000000, history: 00000000000000000000
254537: 1541, zeros: 1541, ones: 0, pp: 1.000000, history: 00000000000000000000
254550: 215, zeros: 215, ones: 0, pp: 1.000000, history: 00000000000000000000
254552: 1410, zeros: 1410, ones: 0, pp: 1.000000, history: 00000000000000000000
254553: 4615, zeros: 4615, ones: 0, pp: 1.000000, history: 00000000000000000000
254554: 4555, zeros: 4555, ones: 0, pp: 1.000000, history: 00000000000000000000
254556: 784, zeros: 784, ones: 0, pp: 1.000000, history: 00000000000000000000
254572: 114, zeros: 114, ones: 0, pp: 1.000000, history: 00000000000000000000
255115: 122, zeros: 122, ones: 0, pp: 1.000000, history: 00000000000000000000
255155: 228, zeros: 228, ones: 0, pp: 1.000000, history: 00000000000000000000
255410: 1306, zeros: 1306, ones: 0, pp: 1.000000, history: 00000000000000000000
255422: 125, zeros: 125, ones: 0, pp: 1.000000, history: 00000000000000000000
255434: 294, zeros: 294, ones: 0, pp: 1.000000, history: 00000000000000000000
255436: 159, zeros: 159, ones: 0, pp: 1.000000, history: 00000000000000000000
255515: 1458, zeros: 1458, ones: 0, pp: 1.000000, history: 00000000000000000000
255531: 570, zeros: 570, ones: 0, pp: 1.000000, history: 00000000000000000000
255536: 509, zeros: 509, ones: 0, pp: 1.000000, history: 00000000000000000000
255553: 186, zeros: 186, ones: 0, pp: 1.000000, history: 00000000000000000000
256010: 2590, zeros: 2590, ones: 0, pp: 1.000000, history: 00000000000000000000
256022: 244, zeros: 244, ones: 0, pp: 1.000000, history: 00000000000000000000
256034: 509, zeros: 509, ones: 0, pp: 1.000000, history: 00000000000000000000
256036: 309, zeros: 309, ones: 0, pp: 1.000000, history: 00000000000000000000
256111: 1682, zeros: 1682, ones: 0, pp: 1.000000, history: 00000000000000000000
256114: 1847, zeros: 1847, ones: 0, pp: 1.000000, history: 00000000000000000000
256115: 3267, zeros: 3267, ones: 0, pp: 1.000000, history: 00000000000000000000
256116: 438, zeros: 438, ones: 0, pp: 1.000000, history: 00000000000000000000
256131: 2410, zeros: 2410, ones: 0, pp: 1.000000, history: 00000000000000000000
256133: 189, zeros: 189, ones: 0, pp: 1.000000, history: 00000000000000000000
256134: 3339, zeros: 3339, ones: 0, pp: 1.000000, history: 00000000000000000000
256135: 105, zeros: 105, ones: 0, pp: 1.000000, history: 00000000000000000000
256137: 2088, zeros: 2088, ones: 0, pp: 1.000000, history: 00000000000000000000
256153: 321, zeros: 321, ones: 0, pp: 1.000000, history: 00000000000000000000
256154: 365, zeros: 365, ones: 0, pp: 1.000000, history: 00000000000000000000
256155: 367, zeros: 367, ones: 0, pp: 1.000000, history: 00000000000000000000
256171: 2383, zeros: 2383, ones: 0, pp: 1.000000, history: 00000000000000000000
256410: 1660, zeros: 1660, ones: 0, pp: 1.000000, history: 00000000000000000000
256422: 147, zeros: 147, ones: 0, pp: 1.000000, history: 00000000000000000000
256434: 275, zeros: 275, ones: 0, pp: 1.000000, history: 00000000000000000000
256436: 236, zeros: 236, ones: 0, pp: 1.000000, history: 00000000000000000000
256511: 2443, zeros: 2443, ones: 0, pp: 1.000000, history: 00000000000000000000
256512: 302, zeros: 302, ones: 0, pp: 1.000000, history: 00000000000000000000
256515: 3885, zeros: 3885, ones: 0, pp: 1.000000, history: 00000000000000000000
256531: 1338, zeros: 1338, ones: 0, pp: 1.000000, history: 00000000000000000000
256535: 194, zeros: 194, ones: 0, pp: 1.000000, history: 00000000000000000000
256537: 1458, zeros: 1458, ones: 0, pp: 1.000000, history: 00000000000000000000
256550: 588, zeros: 588, ones: 0, pp: 1.000000, history: 00000000000000000000
256553: 300, zeros: 300, ones: 0, pp: 1.000000, history: 00000000000000000000
256555: 511, zeros: 511, ones: 0, pp: 1.000000, history: 00000000000000000000
256571: 446, zeros: 446, ones: 0, pp: 1.000000, history: 00000000000000000000
257010: 8309, zeros: 8309, ones: 0, pp: 1.000000, history: 00000000000000000000
257017: 751, zeros: 751, ones: 0, pp: 1.000000, history: 00000000000000000000
257022: 768, zeros: 768, ones: 0, pp: 1.000000, history: 00000000000000000000
257033: 117, zeros: 117, ones: 0, pp: 1.000000, history: 00000000000000000000
257034: 837, zeros: 837, ones: 0, pp: 1.000000, history: 00000000000000000000
257036: 605, zeros: 605, ones: 0, pp: 1.000000, history: 00000000000000000000
257111: 684, zeros: 684, ones: 0, pp: 1.000000, history: 00000000000000000000
257113: 1422, zeros: 1422, ones: 0, pp: 1.000000, history: 00000000000000000000
257114: 6860, zeros: 6860, ones: 0, pp: 1.000000, history: 00000000000000000000
257115: 3419, zeros: 3419, ones: 0, pp: 1.000000, history: 00000000000000000000
257116: 152, zeros: 152, ones: 0, pp: 1.000000, history: 00000000000000000000
257117: 5685, zeros: 5685, ones: 0, pp: 1.000000, history: 00000000000000000000
257131: 1241, zeros: 1241, ones: 0, pp: 1.000000, history: 00000000000000000000
257133: 484, zeros: 484, ones: 0, pp: 1.000000, history: 00000000000000000000
257134: 363, zeros: 363, ones: 0, pp: 1.000000, history: 00000000000000000000
257136: 457, zeros: 457, ones: 0, pp: 1.000000, history: 00000000000000000000
257137: 2856, zeros: 2856, ones: 0, pp: 1.000000, history: 00000000000000000000
257153: 1100, zeros: 1100, ones: 0, pp: 1.000000, history: 00000000000000000000
257154: 3302, zeros: 3302, ones: 0, pp: 1.000000, history: 00000000000000000000
257155: 272, zeros: 272, ones: 0, pp: 1.000000, history: 00000000000000000000
257156: 126, zeros: 126, ones: 0, pp: 1.000000, history: 00000000000000000000
257171: 635, zeros: 635, ones: 0, pp: 1.000000, history: 00000000000000000000
